Rank,Certification,Issuer,Postings,Percent of Cyber Postings,Scraped On
1,AWS Certified Security,AWS,0,0.0,2026-09-07
2,Azure Security Engineer (AZ-500),Microsoft,0,0.0,2026-09-07
3,CCNA,Cisco,0,0.0,2026-09-07
4,CCSK,Cloud Security Alliance,0,0.0,2026-09-07
5,CCSP,ISC2,0,0.0,2026-09-07
6,CEH,EC-Council,0,0.0,2026-09-07
7,CISA,ISACA,0,0.0,2026-09-07
8,CISM,ISACA,0,0.0,2026-09-07
9,CISSP,ISC2,0,0.0,2026-09-07
10,CRISC,ISACA,0,0.0,2026-09-07
11,Cisco CyberOps Associate,Cisco,0,0.0,2026-09-07
12,CompTIA A+,CompTIA,0,0.0,2026-09-07
13,CompTIA CASP+ / SecurityX,CompTIA,0,0.0,2026-09-07
14,CompTIA CySA+,CompTIA,0,0.0,2026-09-07
15,CompTIA Network+,CompTIA,0,0.0,2026-09-07
16,CompTIA PenTest+,CompTIA,0,0.0,2026-09-07
17,CompTIA Security+,CompTIA,0,0.0,2026-09-07
18,Fortinet NSE / FCSS,Fortinet,0,0.0,2026-09-07
19,GIAC (other),GIAC,0,0.0,2026-09-07
20,GIAC GCIA,GIAC,0,0.0,2026-09-07
21,GIAC GCIH,GIAC,0,0.0,2026-09-07
22,GIAC GPEN,GIAC,0,0.0,2026-09-07
23,GIAC GREM,GIAC,0,0.0,2026-09-07
24,GIAC GSEC,GIAC,0,0.0,2026-09-07
25,Google Professional Cloud Security Engineer,Google,0,0.0,2026-09-07
26,Microsoft SC-100 (Cybersecurity Architect),Microsoft,0,0.0,2026-09-07
27,Microsoft SC-200 (Security Operations Analyst),Microsoft,0,0.0,2026-09-07
28,Microsoft SC-300 (Identity & Access Administrator),Microsoft,0,0.0,2026-09-07
29,OSCP,OffSec,0,0.0,2026-09-07
30,OSEP,OffSec,0,0.0,2026-09-07
31,OSWE,OffSec,0,0.0,2026-09-07
32,PMP,PMI,0,0.0,2026-09-07
33,Palo Alto PCNSE,Palo Alto Networks,0,0.0,2026-09-07
34,SSCP,ISC2,0,0.0,2026-09-07
35,Splunk Certified,Splunk,0,0.0,2026-09-07
