rank,certification,issuer,postings,percent_of_cyber_postings
1,CISSP,ISC2,243,22.9
2,CompTIA Security+,CompTIA,148,14.0
3,CISM,ISACA,101,9.5
4,GIAC (other),GIAC,93,8.8
5,CompTIA CySA+,CompTIA,71,6.7
6,CCSP,ISC2,68,6.4
7,CEH,EC-Council,68,6.4
8,CompTIA CASP+ / SecurityX,CompTIA,59,5.6
9,GIAC GSEC,GIAC,57,5.4
10,OSCP,OffSec,56,5.3
11,SSCP,ISC2,53,5.0
12,CISA,ISACA,52,4.9
13,CCNA,Cisco,50,4.7
14,GIAC GCIH,GIAC,45,4.2
15,GIAC GCIA,GIAC,28,2.6
16,CRISC,ISACA,23,2.2
17,Azure Security Engineer (AZ-500),Microsoft,20,1.9
18,GIAC GPEN,GIAC,17,1.6
19,AWS Certified Security,AWS,16,1.5
20,OSWE,OffSec,15,1.4
21,OSEP,OffSec,14,1.3
22,CCSK,Cloud Security Alliance,12,1.1
23,GIAC GREM,GIAC,12,1.1
24,Microsoft SC-300 (Identity & Access Administrator),Microsoft,12,1.1
25,Microsoft SC-200 (Security Operations Analyst),Microsoft,10,0.9
26,PMP,PMI,10,0.9
27,Microsoft SC-100 (Cybersecurity Architect),Microsoft,8,0.8
28,CompTIA PenTest+,CompTIA,7,0.7
29,Google Professional Cloud Security Engineer,Google,6,0.6
30,Splunk Certified,Splunk,5,0.5
31,CompTIA Network+,CompTIA,3,0.3
32,Fortinet NSE / FCSS,Fortinet,2,0.2
33,Cisco CyberOps Associate,Cisco,1,0.1
34,Palo Alto PCNSE,Palo Alto Networks,1,0.1
35,CompTIA A+,CompTIA,0,0.0
