Rank,Certification,Issuer,Postings,Percent of Cyber Postings,Scraped On
1,CISSP,ISC2,236,23.0,2026-08-24
2,CompTIA Security+,CompTIA,147,14.3,2026-08-24
3,CISM,ISACA,99,9.7,2026-08-24
4,GIAC (other),GIAC,93,9.1,2026-08-24
5,CCSP,ISC2,68,6.6,2026-08-24
6,CEH,EC-Council,68,6.6,2026-08-24
7,CompTIA CASP+ / SecurityX,CompTIA,57,5.6,2026-08-24
8,OSCP,OffSec,56,5.5,2026-08-24
9,CompTIA CySA+,CompTIA,54,5.3,2026-08-24
10,CISA,ISACA,52,5.1,2026-08-24
11,GIAC GCIH,GIAC,45,4.4,2026-08-24
12,GIAC GSEC,GIAC,40,3.9,2026-08-24
13,SSCP,ISC2,36,3.5,2026-08-24
14,CCNA,Cisco,32,3.1,2026-08-24
15,GIAC GCIA,GIAC,28,2.7,2026-08-24
16,CRISC,ISACA,23,2.2,2026-08-24
17,Azure Security Engineer (AZ-500),Microsoft,20,2.0,2026-08-24
18,GIAC GPEN,GIAC,17,1.7,2026-08-24
19,AWS Certified Security,AWS,16,1.6,2026-08-24
20,OSWE,OffSec,15,1.5,2026-08-24
21,OSEP,OffSec,14,1.4,2026-08-24
22,CCSK,Cloud Security Alliance,12,1.2,2026-08-24
23,GIAC GREM,GIAC,12,1.2,2026-08-24
24,Microsoft SC-300 (Identity & Access Administrator),Microsoft,12,1.2,2026-08-24
25,Microsoft SC-200 (Security Operations Analyst),Microsoft,10,1.0,2026-08-24
26,PMP,PMI,10,1.0,2026-08-24
27,Microsoft SC-100 (Cybersecurity Architect),Microsoft,8,0.8,2026-08-24
28,CompTIA PenTest+,CompTIA,7,0.7,2026-08-24
29,Google Professional Cloud Security Engineer,Google,6,0.6,2026-08-24
30,Splunk Certified,Splunk,5,0.5,2026-08-24
31,CompTIA Network+,CompTIA,3,0.3,2026-08-24
32,Fortinet NSE / FCSS,Fortinet,2,0.2,2026-08-24
33,Cisco CyberOps Associate,Cisco,1,0.1,2026-08-24
34,Palo Alto PCNSE,Palo Alto Networks,1,0.1,2026-08-24
35,CompTIA A+,CompTIA,0,0.0,2026-08-24
